ID;Kalenderwoche;Artikel;;;;;Bruttobetrag;Nettobetrag;;;Verkaufte StÅcke;Gewicht verkauft;;Durchschnittlicher Preis;;;;Rabattierter Betrag;Durchschnittlicher Rabatt;Referenzbetrag;;;;Ref %;;Tot %Umsatz;Jahr
185;38;A10001;Favorite;;;;3'902.00;3'902.00;;;494;;;7.90;;;;0.00;0.00;3'902.00;;;;100.00;;32.76;2015
186;38;A10002;Green;;;;2'597.00;2'597.00;;;341;;;7.62;;;;0.00;0.00;2'597.00;;;;100.00;;21.80;2015
187;38;A100039;Portion Pommes;;;;5.50;5.50;;;1;;;5.50;;;;0.00;0.00;5.50;;;;100.00;;0.05;2015
188;38;A10006;Menu Salat;;;;298.00;298.00;;;190;;;1.57;;;;0.00;0.00;298.00;;;;100.00;;2.50;2015
189;38;A10007;Senf Mayo Ketschup;;;;0.50;0.50;;;1;;;0.50;;;;0.00;0.00;0.50;;;;100.00;;0.00;2015
190;38;A10011;Kitchen 1;;;;396.00;396.00;;;41;;;9.66;;;;0.00;0.00;396.00;;;;100.00;;3.32;2015
191;38;A10013;Kitchen 3;;;;489.00;489.00;;;42;;;11.64;;;;0.00;0.00;489.00;;;;100.00;;4.11;2015
192;38;A10014;Kitchen 4;;;;660.00;660.00;;;50;;;13.20;;;;0.00;0.00;660.00;;;;100.00;;5.54;2015
193;38;A10020;Local 0;;;;1'910.00;1'910.00;;;253;;;7.55;;;;0.00;0.00;1'910.00;;;;100.00;;16.04;2015
194;38;A10030;Market;;;;282.20;282.20;;;38;12.10;;23.32;;;;0.00;0.00;282.20;;;;100.00;;2.37;2015
195;38;A10040;Garden;;;;265.60;265.60;;;35;11.49;;23.11;;;;0.00;0.00;265.60;;;;100.00;;2.23;2015
196;38;A10063;Frucht 1.00;;;;7.00;7.00;;;7;;;1.00;;;;0.00;0.00;7.00;;;;100.00;;0.06;2015
197;38;A10071;Quark;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.01;2015
198;38;A10072;Schichtjoghurt;;;;9.00;9.00;;;3;;;3.00;;;;0.00;0.00;9.00;;;;100.00;;0.08;2015
199;38;A10101;Ragusa-Gipfel ;;;;4.80;4.80;;;2;;;2.40;;;;0.00;0.00;4.80;;;;100.00;;0.04;2015
200;38;A10112;Maisbrîtli;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.01;2015
201;38;A10114;Fitnessbrîtli ;;;;1.90;1.90;;;1;;;1.90;;;;0.00;0.00;1.90;;;;100.00;;0.02;2015
202;38;A10116;Semmel ;;;;8.80;8.80;;;6;;;1.47;;;;0.00;0.00;8.80;;;;100.00;;0.07;2015
203;38;A10120;Mandelbrezel ;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
204;38;A10121;Mandelschnecke ;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
205;38;A10122;Nussbrille;;;;2.90;2.90;;;1;;;2.90;;;;0.00;0.00;2.90;;;;100.00;;0.02;2015
206;38;A10126;Apfel im Schlafrock;;;;2.90;2.90;;;1;;;2.90;;;;0.00;0.00;2.90;;;;100.00;;0.02;2015
207;38;A10131;Vanille/Apfelstange;;;;7.20;7.20;;;3;;;2.40;;;;0.00;0.00;7.20;;;;100.00;;0.06;2015
208;38;A10136;Muffin;;;;8.50;8.50;;;3;;;2.83;;;;0.00;0.00;8.50;;;;100.00;;0.07;2015
209;38;A10144;TrockengebÑck 100g verpackt;;;;2.20;2.20;;;1;;;2.20;;;;0.00;0.00;2.20;;;;100.00;;0.02;2015
210;38;A10148;Fruchttîrtli;;;;50.50;50.50;;;20;;;2.53;;;;0.00;0.00;50.50;;;;100.00;;0.42;2015
211;38;A10200;BirchermÅesli Classic;;;;84.70;84.70;;;26;;;3.26;;;;0.00;0.00;84.70;;;;100.00;;0.71;2015
212;38;A10410;Sandwich Milano;;;;89.50;89.50;;;22;;;4.07;;;;0.00;0.00;89.50;;;;100.00;;0.75;2015
213;38;A10411;Sandwich Power Ham;;;;4.00;4.00;;;1;;;4.00;;;;0.00;0.00;4.00;;;;100.00;;0.03;2015
214;38;A10413;Sandwich Start Your Day;;;;100.50;100.50;;;22;;;4.57;;;;0.00;0.00;100.50;;;;100.00;;0.84;2015
215;38;A10414;Sandwich Ham & Cheese;;;;44.00;44.00;;;8;;;5.50;;;;0.00;0.00;44.00;;;;100.00;;0.37;2015
216;38;A10415;Sandwich Turkey;;;;28.00;28.00;;;5;;;5.60;;;;0.00;0.00;28.00;;;;100.00;;0.24;2015
217;38;A10426;Bagel Sandwich Ham & Cheese;;;;16.50;16.50;;;3;;;5.50;;;;0.00;0.00;16.50;;;;100.00;;0.14;2015
218;38;A10430;Bagel Sandwich Fisherman's Catch;;;;16.50;16.50;;;3;;;5.50;;;;0.00;0.00;16.50;;;;100.00;;0.14;2015
219;38;L19000;Brotwaren offen;;;;0.50;0.50;;;1;;;0.50;;;;0.00;0.00;0.50;;;;100.00;;0.00;2015
220;38;L19100;Patisserie offen;;;;70.00;70.00;;;28;;;2.50;;;;0.00;0.00;70.00;;;;100.00;;0.59;2015
221;38;L19200;Sandwich offen;;;;39.50;39.50;;;8;;;4.94;;;;0.00;0.00;39.50;;;;100.00;;0.33;2015
222;39;A10000;KÅche;;;;194.30;194.30;;;39;;;4.98;;;;0.00;0.00;194.30;;;;100.00;;1.60;2015
223;39;A10001;Favorite;;;;4'616.00;4'616.00;;;588;;;7.85;;;;0.00;0.00;4'616.00;;;;100.00;;38.01;2015
224;39;A10002;Green;;;;2'796.00;2'796.00;;;366;;;7.64;;;;0.00;0.00;2'796.00;;;;100.00;;23.02;2015
225;39;A100039;Portion Pommes;;;;5.50;5.50;;;1;;;5.50;;;;0.00;0.00;5.50;;;;100.00;;0.05;2015
226;39;A10004;Brot StÅck;;;;0.30;0.30;;;1;;;0.30;;;;0.00;0.00;0.30;;;;100.00;;0.00;2015
227;39;A10005;Menu Suppe;;;;1.50;1.50;;;1;;;1.50;;;;0.00;0.00;1.50;;;;100.00;;0.01;2015
228;39;A10006;Menu Salat;;;;290.50;290.50;;;189;;;1.54;;;;0.00;0.00;290.50;;;;100.00;;2.39;2015
229;39;A10007;Senf Mayo Ketschup;;;;0.50;0.50;;;1;;;0.50;;;;0.00;0.00;0.50;;;;100.00;;0.00;2015
230;39;A10010;Kitchen 0;;;;8.00;8.00;;;1;;;8.00;;;;0.00;0.00;8.00;;;;100.00;;0.07;2015
231;39;A10011;Kitchen 1;;;;663.00;663.00;;;68;;;9.75;;;;0.00;0.00;663.00;;;;100.00;;5.46;2015
232;39;A10013;Kitchen 3;;;;467.00;467.00;;;39;;;11.97;;;;0.00;0.00;467.00;;;;100.00;;3.85;2015
233;39;A10014;Kitchen 4;;;;751.00;751.00;;;59;;;12.73;;;;0.00;0.00;751.00;;;;100.00;;6.18;2015
234;39;A10020;Local 0;;;;1'463.00;1'463.00;;;186;;;7.87;;;;0.00;0.00;1'463.00;;;;100.00;;12.05;2015
235;39;A10021;Local 1;;;;11.00;11.00;;;1;;;11.00;;;;0.00;0.00;11.00;;;;100.00;;0.09;2015
236;39;A10023;Local 3;;;;12.00;12.00;;;1;;;12.00;;;;0.00;0.00;12.00;;;;100.00;;0.10;2015
237;39;A10030;Market;;;;219.10;219.10;;;32;9.43;;23.24;;;;0.00;0.00;219.10;;;;100.00;;1.80;2015
238;39;A10040;Garden;;;;167.20;167.20;;;27;7.22;;23.17;;;;0.00;0.00;167.20;;;;100.00;;1.38;2015
239;39;A10060;Frucht -.70;;;;0.70;0.70;;;1;;;0.70;;;;0.00;0.00;0.70;;;;100.00;;0.01;2015
240;39;A10063;Frucht 1.00;;;;14.00;14.00;;;14;;;1.00;;;;0.00;0.00;14.00;;;;100.00;;0.12;2015
241;39;A10070;Yogurt 150g;;;;4.80;4.80;;;3;;;1.60;;;;0.00;0.00;4.80;;;;100.00;;0.04;2015
242;39;A10072;Schichtjoghurt;;;;6.00;6.00;;;2;;;3.00;;;;0.00;0.00;6.00;;;;100.00;;0.05;2015
243;39;A10073;SaisonfrÅchte geschnitten;;;;7.00;7.00;;;2;;;3.50;;;;0.00;0.00;7.00;;;;100.00;;0.06;2015
244;39;A10100;Gipfel;;;;7.80;7.80;;;6;;;1.30;;;;0.00;0.00;7.80;;;;100.00;;0.06;2015
245;39;A10101;Ragusa-Gipfel ;;;;7.20;7.20;;;3;;;2.40;;;;0.00;0.00;7.20;;;;100.00;;0.06;2015
246;39;A10105;Schinkengipfel ;;;;2.50;2.50;;;1;;;2.50;;;;0.00;0.00;2.50;;;;100.00;;0.02;2015
247;39;A10108;Laugenbrezel mit Butter;;;;4.60;4.60;;;2;;;2.30;;;;0.00;0.00;4.60;;;;100.00;;0.04;2015
248;39;A10110;Sonnenblumenbrîtli;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.01;2015
249;39;A10112;Maisbrîtli;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.01;2015
250;39;A10113;Mandelbrîtli ;;;;8.50;8.50;;;5;;;1.70;;;;0.00;0.00;8.50;;;;100.00;;0.07;2015
251;39;A10116;Semmel ;;;;1.60;1.60;;;1;;;1.60;;;;0.00;0.00;1.60;;;;100.00;;0.01;2015
252;39;A10117;Nuss-Semmel ;;;;5.10;5.10;;;3;;;1.70;;;;0.00;0.00;5.10;;;;100.00;;0.04;2015
253;39;A10122;Nussbrille;;;;2.50;2.50;;;1;;;2.50;;;;0.00;0.00;2.50;;;;100.00;;0.02;2015
254;39;A10123;Russenzîpfli;;;;7.20;7.20;;;3;;;2.40;;;;0.00;0.00;7.20;;;;100.00;;0.06;2015
255;39;A10126;Apfel im Schlafrock;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
256;39;A10127;Aprikosenplunder;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
257;39;A10128;Aprikosenjalousie;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
258;39;A10130;Vanillekreuz;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
259;39;A10131;Vanille/Apfelstange;;;;12.50;12.50;;;5;;;2.50;;;;0.00;0.00;12.50;;;;100.00;;0.10;2015
260;39;A10135;WÑhe;;;;42.90;42.90;;;11;;;3.90;;;;0.00;0.00;42.90;;;;100.00;;0.35;2015
261;39;A10136;Muffin;;;;10.00;10.00;;;4;;;2.50;;;;0.00;0.00;10.00;;;;100.00;;0.08;2015
262;39;A10143;TrockengebÑck Lyner verpackt;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
263;39;A10144;TrockengebÑck 100g verpackt;;;;11.50;11.50;;;5;;;2.30;;;;0.00;0.00;11.50;;;;100.00;;0.09;2015
264;39;A10148;Fruchttîrtli;;;;21.60;21.60;;;9;;;2.40;;;;0.00;0.00;21.60;;;;100.00;;0.18;2015
265;39;A10200;BirchermÅesli Classic;;;;55.40;55.40;;;17;;;3.26;;;;0.00;0.00;55.40;;;;100.00;;0.46;2015
266;39;A10410;Sandwich Milano;;;;37.00;37.00;;;9;;;4.11;;;;0.00;0.00;37.00;;;;100.00;;0.30;2015
267;39;A10413;Sandwich Start Your Day;;;;36.50;36.50;;;8;;;4.56;;;;0.00;0.00;36.50;;;;100.00;;0.30;2015
268;39;A10414;Sandwich Ham & Cheese;;;;22.00;22.00;;;4;;;5.50;;;;0.00;0.00;22.00;;;;100.00;;0.18;2015
269;39;A10415;Sandwich Turkey;;;;33.00;33.00;;;6;;;5.50;;;;0.00;0.00;33.00;;;;100.00;;0.27;2015
270;39;A10416;Sandwich Ticinese;;;;18.00;18.00;;;3;;;6.00;;;;0.00;0.00;18.00;;;;100.00;;0.15;2015
271;39;A10425;Sandwich Italien;;;;12.00;12.00;;;2;;;6.00;;;;0.00;0.00;12.00;;;;100.00;;0.10;2015
272;39;A10426;Bagel Sandwich Ham & Cheese;;;;5.50;5.50;;;1;;;5.50;;;;0.00;0.00;5.50;;;;100.00;;0.05;2015
273;39;A10430;Bagel Sandwich Fisherman's Catch;;;;11.50;11.50;;;2;;;5.75;;;;0.00;0.00;11.50;;;;100.00;;0.09;2015
274;39;A10450;Sandwich Laugenkaiser;;;;4.50;4.50;;;1;;;4.50;;;;0.00;0.00;4.50;;;;100.00;;0.04;2015
275;39;A10451;Sandwich Bauette;;;;20.50;20.50;;;4;;;5.13;;;;0.00;0.00;20.50;;;;100.00;;0.17;2015
276;39;L19000;Brotwaren offen;;;;2.00;2.00;;;1;;;2.00;;;;0.00;0.00;2.00;;;;100.00;;0.02;2015
277;39;L19100;Patisserie offen;;;;2.50;2.50;;;1;;;2.50;;;;0.00;0.00;2.50;;;;100.00;;0.02;2015
278;39;L19200;Sandwich offen;;;;24.50;24.50;;;5;;;4.90;;;;0.00;0.00;24.50;;;;100.00;;0.20;2015
279;40;A10000;KÅche;;;;2'391.50;2'391.50;;;82;;;29.16;;;;0.00;0.00;2'391.50;;;;100.00;;17.30;2015
280;40;A10001;Favorite;;;;3'724.00;3'724.00;;;476;;;7.82;;;;0.00;0.00;3'724.00;;;;100.00;;26.95;2015
281;40;A10002;Green;;;;2'221.00;2'221.00;;;289;;;7.69;;;;0.00;0.00;2'221.00;;;;100.00;;16.07;2015
282;40;A10006;Menu Salat;;;;200.00;200.00;;;128;;;1.56;;;;0.00;0.00;200.00;;;;100.00;;1.45;2015
283;40;A10007;Senf Mayo Ketschup;;;;8.00;8.00;;;16;;;0.50;;;;0.00;0.00;8.00;;;;100.00;;0.06;2015
284;40;A10011;Kitchen 1;;;;250.00;250.00;;;26;;;9.62;;;;0.00;0.00;250.00;;;;100.00;;1.81;2015
285;40;A10012;Kitchen 2;;;;269.00;269.00;;;25;;;10.76;;;;0.00;0.00;269.00;;;;100.00;;1.95;2015
286;40;A10013;Kitchen 3;;;;696.00;696.00;;;59;;;11.80;;;;0.00;0.00;696.00;;;;100.00;;5.04;2015
287;40;A10020;Local 0;;;;1'710.00;1'710.00;;;223;;;7.67;;;;0.00;0.00;1'710.00;;;;100.00;;12.37;2015
288;40;A10023;Local 3;;;;165.00;165.00;;;14;;;11.79;;;;0.00;0.00;165.00;;;;100.00;;1.19;2015
289;40;A10030;Market;;;;102.80;102.80;;;15;4.47;;23.00;;;;0.00;0.00;102.80;;;;100.00;;0.74;2015
290;40;A10040;Garden;;;;284.20;284.20;;;40;12.34;;23.03;;;;0.00;0.00;284.20;;;;100.00;;2.06;2015
291;40;A10060;Frucht -.70;;;;2.80;2.80;;;4;;;0.70;;;;0.00;0.00;2.80;;;;100.00;;0.02;2015
292;40;A10062;Frucht -.90;;;;0.90;0.90;;;1;;;0.90;;;;0.00;0.00;0.90;;;;100.00;;0.01;2015
293;40;A10063;Frucht 1.00;;;;53.00;53.00;;;53;;;1.00;;;;0.00;0.00;53.00;;;;100.00;;0.38;2015
294;40;A10071;Quark;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.01;2015
295;40;A10072;Schichtjoghurt;;;;9.00;9.00;;;3;;;3.00;;;;0.00;0.00;9.00;;;;100.00;;0.07;2015
296;40;A10073;SaisonfrÅchte geschnitten;;;;11.00;11.00;;;3;;;3.67;;;;0.00;0.00;11.00;;;;100.00;;0.08;2015
297;40;A10100;Gipfel;;;;23.40;23.40;;;18;;;1.30;;;;0.00;0.00;23.40;;;;100.00;;0.17;2015
298;40;A10101;Ragusa-Gipfel ;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
299;40;A10103;Vanille-Gipfel;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
300;40;A10104;Schoggi-Gipfel ;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
301;40;A10108;Laugenbrezel mit Butter;;;;2.20;2.20;;;1;;;2.20;;;;0.00;0.00;2.20;;;;100.00;;0.02;2015
302;40;A10112;Maisbrîtli;;;;10.20;10.20;;;6;;;1.70;;;;0.00;0.00;10.20;;;;100.00;;0.07;2015
303;40;A10114;Fitnessbrîtli ;;;;5.10;5.10;;;3;;;1.70;;;;0.00;0.00;5.10;;;;100.00;;0.04;2015
304;40;A10116;Semmel ;;;;7.00;7.00;;;5;;;1.40;;;;0.00;0.00;7.00;;;;100.00;;0.05;2015
305;40;A10117;Nuss-Semmel ;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.01;2015
306;40;A10122;Nussbrille;;;;7.30;7.30;;;3;;;2.43;;;;0.00;0.00;7.30;;;;100.00;;0.05;2015
307;40;A10123;Russenzîpfli;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
308;40;A10124;Kirschenstange;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
309;40;A10126;Apfel im Schlafrock;;;;4.80;4.80;;;2;;;2.40;;;;0.00;0.00;4.80;;;;100.00;;0.03;2015
310;40;A10130;Vanillekreuz;;;;7.20;7.20;;;3;;;2.40;;;;0.00;0.00;7.20;;;;100.00;;0.05;2015
311;40;A10131;Vanille/Apfelstange;;;;7.20;7.20;;;3;;;2.40;;;;0.00;0.00;7.20;;;;100.00;;0.05;2015
312;40;A10148;Fruchttîrtli;;;;32.20;32.20;;;13;;;2.48;;;;0.00;0.00;32.20;;;;100.00;;0.23;2015
313;40;A10162;Bienenstich;;;;4.80;4.80;;;2;;;2.40;;;;0.00;0.00;4.80;;;;100.00;;0.03;2015
314;40;A10200;BirchermÅesli Classic;;;;52.20;52.20;;;16;;;3.26;;;;0.00;0.00;52.20;;;;100.00;;0.38;2015
315;40;A10410;Sandwich Milano;;;;32.00;32.00;;;8;;;4.00;;;;0.00;0.00;32.00;;;;100.00;;0.23;2015
316;40;A10412;Sandwich Gruyere;;;;4.00;4.00;;;1;;;4.00;;;;0.00;0.00;4.00;;;;100.00;;0.03;2015
317;40;A10413;Sandwich Start Your Day;;;;50.00;50.00;;;11;;;4.55;;;;0.00;0.00;50.00;;;;100.00;;0.36;2015
318;40;A10415;Sandwich Turkey;;;;11.50;11.50;;;2;;;5.75;;;;0.00;0.00;11.50;;;;100.00;;0.08;2015
319;40;A10416;Sandwich Ticinese;;;;60.50;60.50;;;10;;;6.05;;;;0.00;0.00;60.50;;;;100.00;;0.44;2015
320;40;A10425;Sandwich Italien;;;;18.00;18.00;;;3;;;6.00;;;;0.00;0.00;18.00;;;;100.00;;0.13;2015
321;40;A10430;Bagel Sandwich Fisherman's Catch;;;;17.00;17.00;;;3;;;5.67;;;;0.00;0.00;17.00;;;;100.00;;0.12;2015
322;40;A10450;Sandwich Laugenkaiser;;;;4.00;4.00;;;1;;;4.00;;;;0.00;0.00;4.00;;;;100.00;;0.03;2015
323;40;A10451;Sandwich Bauette;;;;45.50;45.50;;;9;;;5.06;;;;0.00;0.00;45.50;;;;100.00;;0.33;2015
324;40;L18000;Huusbrot 1kg;;;;283.20;283.20;;;59;;;4.80;;;;0.00;0.00;283.20;;;;100.00;;2.05;2015
325;40;L18003;Knusper Crunch, Familia 2kg;;;;38.00;38.00;;;2;;;19.00;;;;0.00;0.00;38.00;;;;100.00;;0.27;2015
326;40;L18006;KÑseplatte 800g;;;;160.00;160.00;;;5;;;32.00;;;;0.00;0.00;160.00;;;;100.00;;1.16;2015
327;40;L18007;Aufschnitt- / Wurstplatte 800g;;;;140.00;140.00;;;5;;;28.00;;;;0.00;0.00;140.00;;;;100.00;;1.01;2015
328;40;L18009;Butter Portionen 10g 96Stk.;;;;96.00;96.00;;;4;;;24.00;;;;0.00;0.00;96.00;;;;100.00;;0.69;2015
329;40;L18010;LÑtta Margarine Portioen 10g 100Stk.;;;;48.00;48.00;;;2;;;24.00;;;;0.00;0.00;48.00;;;;100.00;;0.35;2015
330;40;L18012;Chocos Kellogs Superpack 8x600g;;;;330.00;330.00;;;6;;;55.00;;;;0.00;0.00;330.00;;;;100.00;;2.39;2015
331;40;L18013;Smacks Kellogs Superpack 8x600g;;;;205.00;205.00;;;5;;;41.00;;;;0.00;0.00;205.00;;;;100.00;;1.48;2015
332;41;A10000;KÅche;;;;1'458.30;1'458.30;;;13;;;112.18;;;;0.00;0.00;1'458.30;;;;100.00;;13.30;2015
333;41;A10001;Favorite;;;;3'343.00;3'343.00;;;440;;;7.60;;;;0.00;0.00;3'343.00;;;;100.00;;30.49;2015
334;41;A10002;Green;;;;2'035.00;2'035.00;;;269;;;7.57;;;;0.00;0.00;2'035.00;;;;100.00;;18.56;2015
335;41;A10006;Menu Salat;;;;266.50;266.50;;;173;;;1.54;;;;0.00;0.00;266.50;;;;100.00;;2.43;2015
336;41;A10007;Senf Mayo Ketschup;;;;1.50;1.50;;;3;;;0.50;;;;0.00;0.00;1.50;;;;100.00;;0.01;2015
337;41;A10012;Kitchen 2;;;;692.00;692.00;;;64;;;10.81;;;;0.00;0.00;692.00;;;;100.00;;6.31;2015
338;41;A10014;Kitchen 4;;;;1'248.00;1'248.00;;;97;;;12.87;;;;0.00;0.00;1'248.00;;;;100.00;;11.38;2015
339;41;A10020;Local 0;;;;1'299.00;1'299.00;;;170;;;7.64;;;;0.00;0.00;1'299.00;;;;100.00;;11.85;2015
340;41;A10030;Market;;;;105.80;105.80;;;15;4.60;;23.01;;;;0.00;0.00;105.80;;;;100.00;;0.96;2015
341;41;A10040;Garden;;;;191.60;191.60;;;29;8.29;;23.10;;;;0.00;0.00;191.60;;;;100.00;;1.75;2015
342;41;A10060;Frucht -.70;;;;0.70;0.70;;;1;;;0.70;;;;0.00;0.00;0.70;;;;100.00;;0.01;2015
343;41;A10063;Frucht 1.00;;;;4.00;4.00;;;4;;;1.00;;;;0.00;0.00;4.00;;;;100.00;;0.04;2015
344;41;A10072;Schichtjoghurt;;;;9.00;9.00;;;3;;;3.00;;;;0.00;0.00;9.00;;;;100.00;;0.08;2015
345;41;A10073;SaisonfrÅchte geschnitten;;;;10.50;10.50;;;3;;;3.50;;;;0.00;0.00;10.50;;;;100.00;;0.10;2015
346;41;A10100;Gipfel;;;;1.50;1.50;;;1;;;1.50;;;;0.00;0.00;1.50;;;;100.00;;0.01;2015
347;41;A10101;Ragusa-Gipfel ;;;;4.80;4.80;;;2;;;2.40;;;;0.00;0.00;4.80;;;;100.00;;0.04;2015
348;41;A10103;Vanille-Gipfel;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
349;41;A10110;Sonnenblumenbrîtli;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.02;2015
350;41;A10113;Mandelbrîtli ;;;;1.70;1.70;;;1;;;1.70;;;;0.00;0.00;1.70;;;;100.00;;0.02;2015
351;41;A10121;Mandelschnecke ;;;;9.60;9.60;;;4;;;2.40;;;;0.00;0.00;9.60;;;;100.00;;0.09;2015
352;41;A10122;Nussbrille;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
353;41;A10123;Russenzîpfli;;;;2.90;2.90;;;1;;;2.90;;;;0.00;0.00;2.90;;;;100.00;;0.03;2015
354;41;A10126;Apfel im Schlafrock;;;;7.20;7.20;;;3;;;2.40;;;;0.00;0.00;7.20;;;;100.00;;0.07;2015
355;41;A10130;Vanillekreuz;;;;5.30;5.30;;;2;;;2.65;;;;0.00;0.00;5.30;;;;100.00;;0.05;2015
356;41;A10135;WÑhe;;;;27.80;27.80;;;7;;;3.97;;;;0.00;0.00;27.80;;;;100.00;;0.25;2015
357;41;A10136;Muffin;;;;2.50;2.50;;;1;;;2.50;;;;0.00;0.00;2.50;;;;100.00;;0.02;2015
358;41;A10144;TrockengebÑck 100g verpackt;;;;4.40;4.40;;;2;;;2.20;;;;0.00;0.00;4.40;;;;100.00;;0.04;2015
359;41;A10148;Fruchttîrtli;;;;20.20;20.20;;;8;;;2.53;;;;0.00;0.00;20.20;;;;100.00;;0.18;2015
360;41;A10162;Bienenstich;;;;2.40;2.40;;;1;;;2.40;;;;0.00;0.00;2.40;;;;100.00;;0.02;2015
361;41;A10200;BirchermÅesli Classic;;;;29.30;29.30;;;9;;;3.26;;;;0.00;0.00;29.30;;;;100.00;;0.27;2015
362;41;A10410;Sandwich Milano;;;;16.50;16.50;;;4;;;4.13;;;;0.00;0.00;16.50;;;;100.00;;0.15;2015
363;41;A10413;Sandwich Start Your Day;;;;31.50;31.50;;;7;;;4.50;;;;0.00;0.00;31.50;;;;100.00;;0.29;2015
364;41;A10415;Sandwich Turkey;;;;33.00;33.00;;;6;;;5.50;;;;0.00;0.00;33.00;;;;100.00;;0.30;2015
365;41;A10416;Sandwich Ticinese;;;;36.00;36.00;;;6;;;6.00;;;;0.00;0.00;36.00;;;;100.00;;0.33;2015
366;41;A10425;Sandwich Italien;;;;18.00;18.00;;;3;;;6.00;;;;0.00;0.00;18.00;;;;100.00;;0.16;2015
